t_sec,connected,armed,mode,pose_count,planner_cmd_count,safe_cmd_count,nearest_obstacle_m,safety_event_count,goal_reached
1.011,True,False,CMODE(393216),0,20,20,inf,0,False
2.011,True,True,OFFBOARD,0,40,40,inf,0,False
3.012,True,True,OFFBOARD,0,60,60,inf,0,False
4.011,True,True,OFFBOARD,0,80,80,inf,0,False
5.013,True,True,OFFBOARD,0,100,100,inf,0,False
6.011,True,True,OFFBOARD,0,120,120,inf,0,False
7.011,True,True,OFFBOARD,0,140,140,inf,0,False
8.011,True,True,OFFBOARD,0,160,160,inf,0,False
9.013,True,True,OFFBOARD,0,180,180,inf,0,False
10.01,True,True,OFFBOARD,0,200,200,inf,0,False
11.011,True,True,OFFBOARD,0,220,220,inf,0,False
12.013,True,True,OFFBOARD,0,240,240,inf,0,False
13.011,True,False,OFFBOARD,0,260,260,inf,0,False
14.012,True,True,OFFBOARD,0,280,280,inf,0,False
15.011,True,True,OFFBOARD,0,300,300,inf,0,False
16.011,True,True,OFFBOARD,0,320,320,inf,0,False
17.011,True,True,OFFBOARD,0,340,340,inf,0,False
18.016,True,True,OFFBOARD,0,360,360,inf,0,False
19.011,True,True,OFFBOARD,0,380,380,inf,0,False
20.014,True,True,OFFBOARD,0,400,400,inf,0,False
21.012,True,True,OFFBOARD,0,420,420,inf,0,False
22.011,True,True,OFFBOARD,0,440,440,inf,0,False
23.011,True,True,OFFBOARD,0,460,460,inf,0,False
24.011,True,False,OFFBOARD,0,480,480,inf,0,False
25.01,True,True,OFFBOARD,0,500,500,inf,0,False
26.012,True,True,OFFBOARD,0,520,520,inf,0,False
27.013,True,True,OFFBOARD,0,540,540,inf,0,False
28.011,True,True,OFFBOARD,0,560,560,inf,0,False
29.011,True,True,OFFBOARD,0,580,580,inf,0,False
30.01,True,True,OFFBOARD,0,600,600,inf,0,False
31.011,True,True,OFFBOARD,0,620,620,inf,0,False
32.011,True,True,OFFBOARD,0,640,640,inf,0,False
33.011,True,True,OFFBOARD,0,660,660,inf,0,False
34.01,True,True,OFFBOARD,0,680,680,inf,0,False
35.011,True,True,OFFBOARD,0,700,700,inf,0,False
36.013,True,False,OFFBOARD,0,720,720,inf,0,False
37.011,True,True,OFFBOARD,0,740,740,inf,0,False
38.01,True,True,OFFBOARD,0,760,760,inf,0,False
39.011,True,True,OFFBOARD,0,780,780,inf,0,False
40.011,True,True,OFFBOARD,0,800,800,inf,0,False
41.01,True,True,OFFBOARD,0,820,820,inf,0,False
42.011,True,True,OFFBOARD,0,840,840,inf,0,False
43.011,True,True,OFFBOARD,0,860,860,inf,0,False
44.011,True,True,OFFBOARD,0,880,880,inf,0,False
45.011,True,True,OFFBOARD,0,900,900,inf,0,False
46.011,True,True,OFFBOARD,0,920,920,inf,0,False
47.011,True,False,OFFBOARD,0,940,940,inf,0,False
48.01,True,True,OFFBOARD,0,960,960,inf,0,False
49.011,True,True,OFFBOARD,0,980,980,inf,0,False
50.011,True,True,OFFBOARD,0,1000,1000,inf,0,False
51.013,True,True,OFFBOARD,0,1020,1020,inf,0,False
52.011,True,True,OFFBOARD,0,1040,1040,inf,0,False
53.01,True,True,OFFBOARD,0,1060,1060,inf,0,False
54.011,True,True,OFFBOARD,0,1080,1080,inf,0,False
55.011,True,True,OFFBOARD,0,1100,1100,inf,0,False
56.011,True,True,OFFBOARD,0,1120,1120,inf,0,False
57.011,True,True,OFFBOARD,0,1140,1140,inf,0,False
58.011,True,True,OFFBOARD,0,1160,1160,inf,0,False
59.011,True,False,OFFBOARD,0,1180,1180,inf,0,False
60.011,True,True,OFFBOARD,0,1200,1200,inf,0,False
61.012,True,True,OFFBOARD,0,1220,1220,inf,0,False
62.011,True,True,OFFBOARD,0,1240,1240,inf,0,False
63.01,True,True,OFFBOARD,0,1260,1260,inf,0,False
64.011,True,True,OFFBOARD,0,1280,1280,inf,0,False
65.011,True,True,OFFBOARD,0,1300,1300,inf,0,False
66.013,True,True,OFFBOARD,0,1320,1320,inf,0,False
67.012,True,True,OFFBOARD,0,1340,1340,inf,0,False
68.011,True,True,OFFBOARD,0,1360,1360,inf,0,False
69.011,True,True,OFFBOARD,0,1380,1380,inf,0,False
70.011,True,True,OFFBOARD,0,1400,1400,inf,0,False
71.013,True,False,OFFBOARD,0,1420,1420,inf,0,False
72.011,True,True,OFFBOARD,0,1440,1440,inf,0,False
73.011,True,True,OFFBOARD,0,1460,1460,inf,0,False
74.01,True,True,OFFBOARD,0,1480,1480,inf,0,False
75.011,True,True,OFFBOARD,0,1500,1500,inf,0,False
76.011,True,True,OFFBOARD,0,1520,1520,inf,0,False
77.011,True,True,OFFBOARD,0,1540,1540,inf,0,False
78.01,True,True,OFFBOARD,0,1560,1560,inf,0,False
79.011,True,True,OFFBOARD,0,1580,1580,inf,0,False
80.011,True,True,OFFBOARD,0,1600,1600,inf,0,False
81.011,True,True,OFFBOARD,0,1620,1620,inf,0,False
82.011,True,False,OFFBOARD,0,1640,1640,inf,0,False
83.011,True,True,OFFBOARD,0,1660,1660,inf,0,False
84.011,True,True,OFFBOARD,0,1680,1680,inf,0,False
85.011,True,True,OFFBOARD,0,1700,1700,inf,0,False
86.012,True,True,OFFBOARD,0,1720,1720,inf,0,False
87.011,True,True,OFFBOARD,0,1740,1740,inf,0,False
88.011,True,True,OFFBOARD,0,1760,1760,inf,0,False
89.011,True,True,OFFBOARD,0,1780,1780,inf,0,False
90.011,True,True,OFFBOARD,0,1800,1800,inf,0,False
91.013,True,True,OFFBOARD,0,1820,1820,inf,0,False
92.011,True,True,OFFBOARD,0,1840,1840,inf,0,False
93.011,True,True,OFFBOARD,0,1860,1860,inf,0,False
94.011,True,False,OFFBOARD,0,1880,1880,inf,0,False
95.011,True,True,OFFBOARD,0,1900,1900,inf,0,False
96.01,True,True,OFFBOARD,0,1920,1920,inf,0,False
97.011,True,True,OFFBOARD,0,1940,1940,inf,0,False
98.011,True,True,OFFBOARD,0,1960,1960,inf,0,False
99.011,True,True,OFFBOARD,0,1980,1980,inf,0,False
100.011,True,True,OFFBOARD,0,2000,2000,inf,0,False
101.011,True,True,OFFBOARD,0,2020,2020,inf,0,False
102.01,True,True,OFFBOARD,0,2040,2040,inf,0,False
103.01,True,True,OFFBOARD,0,2060,2060,inf,0,False
104.01,True,True,OFFBOARD,0,2080,2080,inf,0,False
105.011,True,False,OFFBOARD,0,2100,2100,inf,0,False
106.011,True,True,OFFBOARD,0,2120,2120,inf,0,False
107.011,True,True,OFFBOARD,0,2140,2140,inf,0,False
108.011,True,True,OFFBOARD,0,2160,2160,inf,0,False
109.01,True,True,OFFBOARD,0,2180,2180,inf,0,False
110.011,True,True,OFFBOARD,0,2200,2200,inf,0,False
111.01,True,True,OFFBOARD,0,2220,2220,inf,0,False
112.011,True,True,OFFBOARD,0,2240,2240,inf,0,False
113.01,True,True,OFFBOARD,0,2260,2260,inf,0,False
114.013,True,True,OFFBOARD,0,2280,2280,inf,0,False
115.011,True,True,OFFBOARD,0,2300,2300,inf,0,False
116.011,True,True,OFFBOARD,0,2320,2320,inf,0,False
117.011,True,False,OFFBOARD,0,2340,2340,inf,0,False
118.012,True,True,OFFBOARD,0,2360,2360,inf,0,False
119.011,True,True,OFFBOARD,0,2380,2380,inf,0,False
120.012,True,True,OFFBOARD,0,2400,2400,inf,0,False
121.011,True,True,OFFBOARD,0,2420,2420,inf,0,False
122.011,True,True,OFFBOARD,0,2440,2440,inf,0,False
123.019,True,True,OFFBOARD,0,2460,2460,inf,0,False
124.011,True,True,OFFBOARD,0,2480,2480,inf,0,False
125.011,True,True,OFFBOARD,0,2500,2500,inf,0,False
126.011,True,True,OFFBOARD,0,2520,2520,inf,0,False
127.011,True,True,OFFBOARD,0,2540,2540,inf,0,False
128.01,True,False,OFFBOARD,0,2560,2560,inf,0,False
129.011,True,True,OFFBOARD,0,2580,2580,inf,0,False
130.011,True,True,OFFBOARD,0,2600,2600,inf,0,False
131.011,True,True,OFFBOARD,0,2620,2620,inf,0,False
132.012,True,True,OFFBOARD,0,2640,2640,inf,0,False
133.012,True,True,OFFBOARD,0,2660,2660,inf,0,False
134.011,True,True,OFFBOARD,0,2680,2680,inf,0,False
135.011,True,True,OFFBOARD,0,2700,2700,inf,0,False
136.011,True,True,OFFBOARD,0,2720,2720,inf,0,False
137.011,True,True,OFFBOARD,0,2740,2740,inf,0,False
